HOG	OG	Gene Tree Parent Clade	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_GTX0501	Xanthoria_parietina_SAMEA111342678	Xanthoria_parietina_SAMEA115359166
N1.HOG0000000	OG0000000	n1			XANPAOZ2100_004846-T1	XANPARI20_006092-T1
N1.HOG0000001	OG0000000	n10			XANPAOZ2100_002750-T1	
N1.HOG0000002	OG0000000	n12			XANPAOZ2100_001258-T1	XANPARI20_007787-T1
N1.HOG0000003	OG0000000	n15			XANPAOZ2100_007161-T1	
N1.HOG0000004	OG0000000	n19			XANPAOZ2100_005621-T1	
N1.HOG0000005	OG0000000	n20			XANPAOZ2100_005622-T1	XANPARI20_004103-T1
N1.HOG0000006	OG0000000	n23			XANPAOZ2100_007354-T1	XANPARI20_003355-T1
N1.HOG0000007	OG0000000	n26			XANPAOZ2100_000020-T1	
N1.HOG0000008	OG0000000	n28			XANPAOZ2100_004668-T1	XANPARI20_006272-T1
N1.HOG0000009	OG0000000	n30			XANPAOZ2100_002767-T1	
N1.HOG0000010	OG0000000	n32			XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPAOZ2100_004642-T1	XANPARI20_006935-T1
N1.HOG0000011	OG0000001	n1			XANPAOZ2100_004645-T1	XANPARI20_002582-T1, XANPARI20_005693-T1
N1.HOG0000012	OG0000001	n7			XANPAOZ2100_003364-T1	XANPARI20_002541-T1
N1.HOG0000013	OG0000001	n10			XANPAOZ2100_005121-T1	XANPARI20_005800-T1
N1.HOG0000014	OG0000001	n13			XANPAOZ2100_005043-T1	XANPARI20_005877-T1
N1.HOG0000015	OG0000001	n17			XANPAOZ2100_006696-T1	
N1.HOG0000016	OG0000001	n19			XANPAOZ2100_002754-T1	
N1.HOG0000017	OG0000002	n1			XANPAOZ2100_005639-T1	XANPARI20_007334-T1
N1.HOG0000018	OG0000002	n7			XANPAOZ2100_000405-T1	XANPARI20_001054-T1
N1.HOG0000019	OG0000002	n10			XANPAOZ2100_007195-T1	XANPARI20_003186-T1
N1.HOG0000020	OG0000002	n13			XANPAOZ2100_006783-T1	XANPARI20_008238-T1
N1.HOG0000021	OG0000002	n16			XANPAOZ2100_006227-T1	XANPARI20_005003-T1
N1.HOG0000022	OG0000003	n1			XANPAOZ2100_007632-T1	XANPARI20_003634-T1
N1.HOG0000023	OG0000003	n5			XANPAOZ2100_006353-T1	XANPARI20_004872-T1
N1.HOG0000024	OG0000003	n10			XANPAOZ2100_002901-T1	XANPARI20_002017-T1
N1.HOG0000025	OG0000003	n15			XANPAOZ2100_004666-T1	XANPARI20_006275-T1
N1.HOG0000026	OG0000003	n17			XANPAOZ2100_008743-T1	XANPARI20_000263-T1
N1.HOG0000027	OG0000004	n1			XANPAOZ2100_008697-T1	XANPARI20_008858-T1
N1.HOG0000028	OG0000004	n7			XANPAOZ2100_000654-T1	XANPARI20_001309-T1
N1.HOG0000029	OG0000004	n10			XANPAOZ2100_007164-T1, XANPAOZ2100_002083-T1	
N1.HOG0000030	OG0000004	n13			XANPAOZ2100_001035-T1	XANPARI20_001699-T1
N1.HOG0000031	OG0000005	n1			XANPAOZ2100_003965-T1	XANPARI20_005627-T1
N1.HOG0000032	OG0000005	n8			XANPAOZ2100_002757-T1	
N1.HOG0000033	OG0000005	n11			XANPAOZ2100_005616-T1	XANPARI20_004109-T1
N1.HOG0000034	OG0000005	n14			XANPAOZ2100_002001-T1	XANPARI20_006684-T1
N1.HOG0000035	OG0000006	n1			XANPAOZ2100_004920-T1	XANPARI20_005998-T1
N1.HOG0000036	OG0000006	n8			XANPAOZ2100_006385-T1	XANPARI20_004837-T1
N1.HOG0000037	OG0000006	n11			XANPAOZ2100_004206-T1	XANPARI20_003021-T1
N1.HOG0000038	OG0000006	n14			XANPAOZ2100_000278-T1	XANPARI20_000919-T1
N1.HOG0000039	OG0000007	n1			XANPAOZ2100_007071-T1	XANPARI20_008530-T1
N1.HOG0000040	OG0000007	n5			XANPAOZ2100_000320-T1	XANPARI20_000964-T1
N1.HOG0000041	OG0000007	n9			XANPAOZ2100_006785-T1	XANPARI20_008240-T1
N1.HOG0000042	OG0000007	n12			XANPAOZ2100_003975-T1	XANPARI20_005636-T1
N1.HOG0000043	OG0000008	n1			XANPAOZ2100_001795-T1	XANPARI20_006475-T1
N1.HOG0000044	OG0000008	n5			XANPAOZ2100_005741-T1	XANPARI20_006932-T1
N1.HOG0000045	OG0000008	n8			XANPAOZ2100_004882-T1	XANPARI20_006038-T1
N1.HOG0000046	OG0000008	n11			XANPAOZ2100_004639-T1, XANPAOZ2100_002769-T1, XANPAOZ2100_005660-T1, XANPAOZ2100_005659-T1	
N1.HOG0000047	OG0000009	n1			XANPAOZ2100_000972-T1	XANPARI20_001633-T1
N1.HOG0000048	OG0000009	n8				XANPARI20_005616-T1
N1.HOG0000049	OG0000009	n11				XANPARI20_000258-T1
N1.HOG0000050	OG0000010	n1			XANPAOZ2100_001529-T1	XANPARI20_008062-T1
N1.HOG0000051	OG0000010	n5			XANPAOZ2100_002800-T1	XANPARI20_001919-T1
N1.HOG0000052	OG0000010	n8			XANPAOZ2100_005252-T1	XANPARI20_004468-T1
N1.HOG0000053	OG0000011	n1			XANPAOZ2100_005754-T1	XANPARI20_006947-T1
N1.HOG0000054	OG0000011	n5			XANPAOZ2100_006021-T1	XANPARI20_007214-T1
N1.HOG0000055	OG0000011	n9			XANPAOZ2100_000075-T1	
N1.HOG0000056	OG0000011	n11			XANPAOZ2100_003690-T1	XANPARI20_005348-T1
N1.HOG0000057	OG0000012	n1			XANPAOZ2100_007152-T1	XANPARI20_005761-T1
N1.HOG0000058	OG0000012	n6			XANPAOZ2100_002930-T1	XANPARI20_002047-T1
N1.HOG0000059	OG0000012	n11			XANPAOZ2100_007148-T1	
N1.HOG0000060	OG0000012	n12			XANPAOZ2100_005560-T1	XANPARI20_004163-T1
N1.HOG0000061	OG0000013	n1			XANPAOZ2100_001132-T1	XANPARI20_001794-T1
N1.HOG0000062	OG0000013	n6			XANPAOZ2100_006289-T1	XANPARI20_004942-T1
N1.HOG0000063	OG0000013	n8			XANPAOZ2100_004009-T1	
N1.HOG0000064	OG0000013	n10			XANPAOZ2100_008570-T1	XANPARI20_008992-T1
N1.HOG0000065	OG0000014	n1			XANPAOZ2100_003785-T1	XANPARI20_005445-T1
