#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Xc_GTX0491_1	0	10000	0.637600	0.362400	3297	1695	1929	3079	0	0	10000
Xc_GTX0491_1	10000	20000	0.488300	0.511700	2545	2613	2504	2338	0	0	10000
Xc_GTX0491_1	20000	30000	0.499500	0.500500	2517	2468	2537	2478	0	0	10000
Xc_GTX0491_1	30000	40000	0.464700	0.535300	2409	2632	2721	2238	0	0	10000
Xc_GTX0491_1	40000	50000	0.489000	0.511000	2354	2632	2478	2536	0	0	10000
Xc_GTX0491_1	50000	60000	0.509000	0.491000	2560	2417	2493	2530	0	0	10000
Xc_GTX0491_1	60000	70000	0.691500	0.308500	3503	1555	1530	3412	0	0	10000
Xc_GTX0491_1	70000	80000	0.726700	0.273300	3288	1382	1351	3979	0	0	10000
Xc_GTX0491_1	80000	90000	0.722600	0.277400	3532	1444	1330	3694	0	0	10000
Xc_GTX0491_1	90000	100000	0.700400	0.299600	3739	1353	1643	3265	0	0	10000
Xc_GTX0491_1	100000	110000	0.707200	0.292800	3659	1309	1619	3413	0	0	10000
Xc_GTX0491_1	110000	120000	0.624500	0.375500	3106	1747	2008	3139	0	0	10000
Xc_GTX0491_1	120000	130000	0.471100	0.528900	2442	2646	2643	2269	0	0	10000
Xc_GTX0491_1	130000	140000	0.489300	0.510700	2349	2707	2400	2544	0	0	10000
Xc_GTX0491_1	140000	150000	0.462100	0.537900	2229	2775	2604	2392	0	0	10000
Xc_GTX0491_1	150000	160000	0.472600	0.527400	2283	2684	2590	2443	0	0	10000
Xc_GTX0491_1	160000	170000	0.475000	0.525000	2469	2587	2663	2281	0	0	10000
Xc_GTX0491_1	170000	180000	0.481900	0.518100	2500	2613	2568	2319	0	0	10000
Xc_GTX0491_1	180000	190000	0.473600	0.526400	2244	2605	2659	2492	0	0	10000
Xc_GTX0491_1	190000	200000	0.487900	0.512100	2378	2735	2386	2501	0	0	10000
Xc_GTX0491_1	200000	210000	0.500100	0.499900	2584	2670	2329	2417	0	0	10000
Xc_GTX0491_1	210000	220000	0.489900	0.510100	2346	2555	2546	2553	0	0	10000
Xc_GTX0491_1	220000	230000	0.454800	0.545200	2248	2706	2746	2300	0	0	10000
Xc_GTX0491_1	230000	240000	0.477600	0.522400	2212	2666	2558	2564	0	0	10000
Xc_GTX0491_1	240000	250000	0.485700	0.514300	2304	2664	2479	2553	0	0	10000
Xc_GTX0491_1	250000	260000	0.487400	0.512600	2322	2632	2494	2552	0	0	10000
Xc_GTX0491_1	260000	270000	0.473800	0.526200	2305	2752	2510	2433	0	0	10000
Xc_GTX0491_1	270000	280000	0.665400	0.334600	3391	1643	1703	3263	0	0	10000
Xc_GTX0491_1	280000	290000	0.734200	0.265800	3193	1491	1167	4149	0	0	10000
Xc_GTX0491_1	290000	300000	0.750400	0.249600	4278	1174	1322	3226	0	0	10000
Xc_GTX0491_1	300000	310000	0.732800	0.267200	3134	1433	1239	4194	0	0	10000
Xc_GTX0491_1	310000	320000	0.736000	0.264000	3958	1339	1301	3402	0	0	10000
Xc_GTX0491_1	320000	330000	0.760500	0.239500	3394	1240	1155	4211	0	0	10000
Xc_GTX0491_1	330000	340000	0.755000	0.245000	3573	1274	1176	3977	0	0	10000
Xc_GTX0491_1	340000	350000	0.694300	0.305700	3414	1613	1444	3529	0	0	10000
Xc_GTX0491_1	350000	360000	0.582100	0.417900	2752	2184	1995	3069	0	0	10000
Xc_GTX0491_1	360000	370000	0.480900	0.519100	2342	2647	2544	2467	0	0	10000
Xc_GTX0491_1	370000	380000	0.489500	0.510500	2507	2573	2532	2388	0	0	10000
Xc_GTX0491_1	380000	390000	0.469700	0.530300	2353	2630	2673	2344	0	0	10000
Xc_GTX0491_1	390000	400000	0.481200	0.518800	2492	2669	2519	2320	0	0	10000
Xc_GTX0491_1	400000	410000	0.476000	0.524000	2465	2549	2691	2295	0	0	10000
Xc_GTX0491_1	410000	420000	0.465500	0.534500	2265	2773	2572	2390	0	0	10000
Xc_GTX0491_1	420000	430000	0.493200	0.506800	2573	2545	2523	2359	0	0	10000
Xc_GTX0491_1	430000	440000	0.476200	0.523800	2498	2547	2691	2264	0	0	10000
Xc_GTX0491_1	440000	450000	0.498600	0.501400	2500	2470	2544	2486	0	0	10000
Xc_GTX0491_1	450000	460000	0.488900	0.511100	2243	2671	2440	2646	0	0	10000
Xc_GTX0491_1	460000	470000	0.482200	0.517800	2381	2703	2475	2441	0	0	10000
Xc_GTX0491_1	470000	480000	0.473400	0.526600	2345	2703	2563	2389	0	0	10000
Xc_GTX0491_1	480000	490000	0.463600	0.536400	2205	2660	2704	2431	0	0	10000
Xc_GTX0491_1	490000	500000	0.490500	0.509500	2589	2374	2721	2316	0	0	10000
Xc_GTX0491_1	500000	510000	0.487100	0.512900	2422	2628	2501	2449	0	0	10000
Xc_GTX0491_1	510000	520000	0.483500	0.516500	2472	2507	2658	2363	0	0	10000
Xc_GTX0491_1	520000	530000	0.504500	0.495500	2572	2574	2381	2473	0	0	10000
Xc_GTX0491_1	530000	540000	0.492100	0.507900	2551	2564	2515	2370	0	0	10000
Xc_GTX0491_1	540000	550000	0.480500	0.519500	2462	2591	2604	2343	0	0	10000
