query,subject,pid,qstart,qend,evalue,bitscore,prot_length,query_cov,taxid,phylum,class,order,family,species
XANPARI20_008745-T1,CAL8575827.1,87.075,124,253,3.96e-80,248,253,0.513833992094862,107463,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria parietina
XANPARI20_008745-T1,KAI4272362.1,75.172,103,247,1.64e-60,217,253,0.573122529644269,2903222,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria sp. 2 TBL-2021
XANPARI20_008745-T1,CAL8575826.1,100,15,102,1.57e-54,186,253,0.347826086956522,107463,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria parietina
XANPARI20_008745-T1,KAI4264806.1,65.132,100,234,5.48e-54,185,253,0.533596837944664,2903220,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria sp. 1 TBL-2021
XANPARI20_008745-T1,KAI4264806.1,67.308,152,203,7.43e-10,70.1,253,0.205533596837945,2903220,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria sp. 1 TBL-2021
XANPARI20_008745-T1,SLM38074.1,66.154,72,197,1.03e-44,159,253,0.49802371541502,136370,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia pustulata
XANPARI20_008745-T1,SLM38074.1,58.036,87,198,1.37e-28,117,253,0.442687747035573,136370,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia pustulata
XANPARI20_008745-T1,SLM38074.1,75.758,138,203,8.01e-22,100,253,0.260869565217391,136370,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia pustulata
XANPARI20_008745-T1,SLM36576.1,59.603,72,205,5.35e-44,159,253,0.529644268774704,136370,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia pustulata
XANPARI20_008745-T1,SLM36576.1,59.603,72,205,4.8e-43,156,253,0.529644268774704,136370,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia pustulata
