genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_20,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 22_1,2450719,2916971,714,840,0_706,0_830,99,5369,330849,9613,9749,1_9559,1_9693,99,+,5369,330849,9613,9749,1_9559,1_9693,scaffold_1,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_4,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 4_1,27552,2465821,5,719,0_4,0_711,580,47021,1878232,2564,3323,1_2549,1_3304,580,+,47021,1878232,2564,3323,1_2549,1_3304,scaffold_1,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_7,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 7_1,2917491,4640737,841,1446,0_831,0_1428,429,2290,1554405,4699,5344,1_4668,1_5308,429,+,2290,1554405,4699,5344,1_4668,1_5308,scaffold_1,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_10,Xp_GTX0501_17,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 19_1,1011370,1658065,7969,8118,0_7892,0_8040,128,16807,459780,9088,9257,1_9035,1_9203,128,+,16807,459780,9088,9257,1_9035,1_9203,scaffold_11,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_11,Xp_GTX0501_9,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 10_1,181076,242303,8226,8262,0_8148,0_8183,29,1417598,1481236,6502,6536,1_6460,1_6493,29,+,1417598,1481236,6502,6536,1_6460,1_6493,scaffold_3,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_12,Xp_GTX0501_35,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 37_1,1549133,1615275,9205,9229,0_9122,0_9146,21,3658,74145,10840,10867,1_10779,1_10806,21,+,3658,74145,10840,10867,1_10779,1_10806,scaffold_4,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_19,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 21_1,1033541,1494545,9552,9686,0_9468,0_9602,120,721,371384,9445,9608,1_9391,1_9554,120,+,721,371384,9445,9608,1_9391,1_9554,scaffold_3,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_28,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 30_1,692209,943915,9468,9551,0_9384,0_9467,69,490,202810,10445,10531,1_10386,1_10472,69,+,490,202810,10445,10531,1_10386,1_10472,scaffold_3,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_28,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 30_1,913308,943915,9538,9551,0_9454,0_9467,10,172076,202810,10522,10531,1_10463,1_10472,10,+,172076,202810,10522,10531,1_10463,1_10472,scaffold_9,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_22,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 24_1,691695,1016081,9853,9961,0_9768,0_9876,98,12206,299895,9889,10008,1_9832,1_9951,98,+,12206,299895,9889,10008,1_9832,1_9951,scaffold_1,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_24,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 26_1,36840,328735,9697,9781,0_9613,0_9696,63,1366,269941,10098,10190,1_10041,1_10133,63,+,1366,269941,10098,10190,1_10041,1_10133,scaffold_1,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_25,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 27_1,1025412,1229341,9966,10024,0_9881,0_9937,48,11107,146898,10193,10260,1_10136,1_10201,48,+,11107,146898,10193,10260,1_10136,1_10201,scaffold_1,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_15,Xp_GTX0501_15,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 17_1,113762,793061,10092,10292,0_10003,0_10203,168,35797,601217,8634,8856,1_8582,1_8804,168,+,35797,601217,8634,8856,1_8582,1_8804,scaffold_13,Xanthoria_parietina_SAMEA115359166
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_15,Xp_GTX0501_15,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 17_1,89554,243457,10083,10121,0_9995,0_10032,31,11789,121234,8623,8663,1_8572,1_8611,31,+,11789,121234,8623,8663,1_8572,1_8611,scaffold_2,Xanthoria_parietina_SAMEA115359166
